cluster	slug	title	audience	focus
assessment	person-centered-support-planning	التخطيط المتمحور حول الشخص	الأسر والمختصون ومقدمو الخدمات	تحويل ما يهم الشخص ونقاط قوته واحتياجاته إلى أهداف قابلة للتنفيذ والمراجعة.
assessment	icf-functioning-participation	بناء ملف الأداء والمشاركة وفق ICF	المختصون والباحثون ومقدمو الخدمات	وصف الأداء والمشاركة والعوامل البيئية بدل اختزال الفرد في التشخيص.
assessment	strengths-needs-profile	ملف نقاط القوة والاحتياجات	الأسر والمعلمون والمختصون	جمع صورة متوازنة للقدرات والدعم المطلوب والعوائق والسياقات التي يتحسن فيها الأداء.
assessment	multidisciplinary-assessment	التقييم متعدد التخصصات	الأسر وفرق الصحة والتعليم والتأهيل	تنظيم أدوار التخصصات وتوحيد الأسئلة والنتائج ومنع التكرار أو التناقض.
assessment	developmental-monitoring-referral	المراقبة النمائية والإحالة المبكرة	الأسر وأطباء الرعاية الأولية والمعلمون	رصد النمو والوظائف اليومية وتحديد متى يلزم التقييم المتخصص دون تأخير الدعم.
assessment	functional-goal-setting	صياغة الأهداف الوظيفية القابلة للقياس	المختصون والأسر والمعلمون	ربط الأهداف بنشاط واقعي وسياق وزمن ومؤشر نجاح يهم الشخص.
assessment	outcome-measurement	قياس النتائج وجودة الحياة	مديرو البرامج والمختصون والأسر	اختيار مؤشرات تتجاوز عدد الجلسات إلى المشاركة والاستقلال والرضا والأمان.
assessment	shared-decision-making	اتخاذ القرار المشترك	الأشخاص ذوو الاحتياجات الخاصة والأسر والفرق	عرض الخيارات والمنافع والمخاطر بلغة مفهومة وتوثيق التفضيلات.
assessment	supported-decision-making	اتخاذ القرار المدعوم	الأشخاص ذوو الاحتياجات الخاصة والأسر والجهات الخدمية	تمكين الشخص من الفهم والتعبير والاختيار بأقل تقييد ممكن.
communication	communication-access-assessment	تقييم إتاحة التواصل	أخصائيو التواصل والأسر والمدارس والخدمات	فحص قدرة الشخص على الفهم والتعبير والوصول إلى المعلومات في البيئات المختلفة.
communication	aac-readiness-and-assessment	تقييم الحاجة إلى التواصل المعزز والبديل AAC	أخصائيو النطق واللغة والأسر والمعلمون	اختيار نظام تواصل على أساس الحاجة الوظيفية دون اشتراط فشل الكلام أولًا.
communication	aac-low-tech-systems	أنظمة AAC منخفضة التقنية	الأسر والمعلمون ومقدمو الرعاية	تصميم لوحات وصور وكتابة وإشارات قابلة للاستخدام في الحياة اليومية والطوارئ.
communication	aac-high-tech-systems	أنظمة AAC عالية التقنية	فرق التواصل والتقنية المساعدة والأسر	تقييم الأجهزة والتطبيقات والوصول الحركي والمفردات والدعم الفني.
communication	communication-partner-training	تدريب شركاء التواصل	الأسر والمعلمون ومقدمو الخدمات	تعديل أسلوب المستمع ومنح الوقت وبناء الفرص بدل تحميل المستخدم كامل المسؤولية.
communication	accessible-information-easy-read	المعلومات المبسطة سهلة القراءة	المدارس والمستشفيات والجهات العامة والأسر	تحويل المعلومات المعقدة إلى نصوص وصور وبنية يمكن فهمها واستخدامها.
sensory_behavior	sensory-environment-audit	تدقيق البيئة الحسية	الأسر والمدارس وأماكن العمل والخدمات	رصد الصوت والضوء والازدحام والروائح واللمس والتنبؤ بما يرفع الحمل الحسي.
sensory_behavior	sensory-regulation-support	دعم التنظيم الحسي	المختصون والأسر والمعلمون	بناء خيارات وقائية وآمنة تساعد الشخص على تنظيم الانتباه والاستثارة دون قسر.
sensory_behavior	behavior-functional-assessment	التقييم الوظيفي للسلوك	فرق السلوك والتعليم والأسر	فهم السوابق والنتائج والاحتياجات الطبية والتواصلية التي قد تفسر السلوك.
